overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
5/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,1890092833,0.00041301,780304.5852,1890092833,1889312528,1889312528
5/29/2025,1295,Risco >> Renda Fixa,BETA CURVA,1890873467,0.000413014,780634.3045,1890873467,1890092833,1890092833
5/30/2025,1295,Risco >> Renda Fixa,BETA CURVA,1891654431,0.000413018,780964.1659,1891654431,1890873467,1890873467
6/2/2025,1295,Risco >> Renda Fixa,BETA CURVA,1892423917,0.000406779,769486.0985,1892423917,1891654431,1891654431
6/3/2025,1295,Risco >> Renda Fixa,BETA CURVA,1893193726,0.000406784,769808.5443,1893193726,1892423917,1892423917
6/4/2025,1295,Risco >> Renda Fixa,BETA CURVA,1893963857,0.000406789,770131.1275,1893963857,1893193726,1893193726
6/5/2025,1295,Risco >> Renda Fixa,BETA CURVA,1894734311,0.000406794,770453.8482,1894734311,1893963857,1893963857
6/6/2025,1295,Risco >> Renda Fixa,BETA CURVA,1895200608,0.000246102,466297.2395,1895200608,1894734311,1894734311
6/9/2025,1295,Risco >> Renda Fixa,BETA CURVA,1895971543,0.000406783,770934.5785,1895971543,1895200608,1895200608
6/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1896742800,0.000406788,771257.6228,1896742800,1895971543,1895971543
6/11/2025,1295,Risco >> Renda Fixa,BETA CURVA,1897514381,0.000406793,771580.8047,1897514381,1896742800,1896742800
6/12/2025,1295,Risco >> Renda Fixa,BETA CURVA,1898286285,0.000406798,771904.1245,1898286285,1897514381,1897514381
6/13/2025,1295,Risco >> Renda Fixa,BETA CURVA,1899058513,0.000406802,772227.5821,1899058513,1898286285,1898286285
6/16/2025,1295,Risco >> Renda Fixa,BETA CURVA,1899831064,0.000406807,772551.1776,1899831064,1899058513,1899058513
6/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1900603939,0.000406812,772874.9111,1900603939,1899831064,1899831064
6/18/2025,1295,Risco >> Renda Fixa,BETA CURVA,1901377138,0.000406817,773198.7827,1901377138,1900603939,1900603939
6/20/2025,1295,Risco >> Renda Fixa,BETA CURVA,1902121242,0.00039135,744104.1046,1902121242,1901377138,1901377138
6/23/2025,1295,Risco >> Renda Fixa,BETA CURVA,1902895127,0.000406854,773885.3754,1902895127,1902121242,1902121242
6/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,1903669337,0.000406859,774209.7123,1903669337,1902895127,1902895127
6/25/2025,1295,Risco >> Renda Fixa,BETA CURVA,1904443871,0.000406864,774534.1875,1904443871,1903669337,1903669337
6/26/2025,1295,Risco >> Renda Fixa,BETA CURVA,1905218730,0.000406869,774858.801,1905218730,1904443871,1904443871
6/27/2025,1295,Risco >> Renda Fixa,BETA CURVA,1905993913,0.000406874,775183.553,1905993913,1905218730,1905218730
6/30/2025,1295,Risco >> Renda Fixa,BETA CURVA,1906769422,0.000406879,775508.4436,1906769422,1905993913,1905993913
7/1/2025,1295,Risco >> Renda Fixa,BETA CURVA,1907611835,0.000441801,842413.3133,1907611835,1906769422,1906769422
7/2/2025,1295,Risco >> Renda Fixa,BETA CURVA,1908457149,0.000443127,845313.6337,1908457149,1907611835,1907611835
7/3/2025,1295,Risco >> Renda Fixa,BETA CURVA,1909301459,0.000442405,844310.6491,1909301459,1908457149,1908457149
