overview_date,portfolio_id,instrument_name,instrument_id,book_name,asset_value,dtd_ativo_fin,exposure_value,exposure_value_ontem,asset_value_ontem,dtd_ativo_pct,Year,Month,mtd_ativo_pct,ytd_ativo_pct,grupo_1,grupo_2,grupo_3
2025-05-05,1295,2663,0.0,Risco >> Multimercado Terceiros,622253229.7,-1001679.74,622253229.7,623254909.4,623254909.4,-0.0016071750497148993,2025.0,5.0,-0.004456348366671525,0.03754002919294375,Risco,Multimercado Terceiros,
2025-05-06,1295,2663,0.0,Risco >> Multimercado Terceiros,623843444.0,1590214.31,623843444.0,622253229.7,622253229.7,0.0025555742165720412,2025.0,5.0,-0.0019121626790855606,0.04019153974021061,Risco,Multimercado Terceiros,
2025-05-07,1295,2663,0.0,Risco >> Multimercado Terceiros,623460682.5,-382761.54,623460682.5,623843444.0,623843444.0,-0.000613553838998106,2025.0,5.0,-0.0025245433033310727,0.039553326227709684,Risco,Multimercado Terceiros,
2025-05-08,1295,2663,0.0,Risco >> Multimercado Terceiros,623988774.7,528092.28,623988774.7,623460682.5,623460682.5,0.000847033814357652,2025.0,5.0,-0.0016796478625171751,0.04043386304685237,Risco,Multimercado Terceiros,
2025-05-12,1295,2663,0.0,Risco >> Multimercado Terceiros,623973696.4,-15078.32,623973696.4,623988774.7,623988774.7,-2.4164409058879818e-05,2025.0,5.0,-0.0017037716838780304,0.04040872157738695,Risco,Multimercado Terceiros,
2025-05-13,1295,2663,0.0,Risco >> Multimercado Terceiros,628193823.0,4220126.61,628193823.0,623973696.4,623973696.4,0.006763308508592448,2025.0,5.0,0.005048013691188125,0.04744532673644519,Risco,Multimercado Terceiros,
2025-05-14,1295,2663,0.0,Risco >> Multimercado Terceiros,623492097.8,-4701725.24,623492097.8,628193823.0,628193823.0,-0.007484513645082435,2025.0,5.0,-0.002474281881246543,0.03960570789600837,Risco,Multimercado Terceiros,
2025-05-15,1295,2663,0.0,Risco >> Multimercado Terceiros,626681295.9,3189198.1,626681295.9,623492097.8,623492097.8,0.005115057770985595,2025.0,5.0,0.0026281197949746815,0.044923351150942814,Risco,Multimercado Terceiros,
2025-05-16,1295,2663,0.0,Risco >> Multimercado Terceiros,501948248.8,266952.96,501948248.8,626681295.9,626681295.9,0.00042597882168578065,2025.0,5.0,0.003055218140034066,0.04536846636881808,Risco,Multimercado Terceiros,
2025-05-19,1295,2663,0.0,Risco >> Multimercado Terceiros,502521040.7,572791.81,502521040.7,501948248.8,501948248.8,0.0011411371817101955,2025.0,5.0,0.004199841744762178,0.04656137519437897,Risco,Multimercado Terceiros,
2025-05-20,1295,2663,0.0,Risco >> Multimercado Terceiros,502000906.6,-520134.1,502000906.6,502521040.7,502521040.7,-0.0010350493966888737,2025.0,5.0,0.0031604453044091763,0.04547813247438626,Risco,Multimercado Terceiros,
2025-05-21,1295,2663,0.0,Risco >> Multimercado Terceiros,501840372.8,-160533.71,501840372.8,502000906.6,502000906.6,-0.00031978768940334814,2025.0,5.0,0.002839646943504359,0.0451438014380805,Risco,Multimercado Terceiros,
2025-05-22,1295,2663,0.0,Risco >> Multimercado Terceiros,502169411.2,329038.31,502169411.2,501840372.8,501840372.8,0.0006556632902294066,2025.0,5.0,0.003497172085991984,0.045829063861694275,Risco,Multimercado Terceiros,
