date,portfolio_id,profitability_in_day,profitability_in_month,profitability_in_year
2025-01-23,1208,-0.0013051663,0.0033400654,0.0033400654
2025-01-23,1694,-0.0007647326,,
2025-01-23,1211,-0.0028606747,0.0137747524,0.0137747524
2025-01-24,1270,-9.61495e-05,0.0110830895,0.0110830895
2025-01-24,1693,-0.0003154817,,
2025-01-24,1209,0.0003664646,0.0028455156,0.0028455156
2025-01-24,1211,0.0009199794,0.0147074044,0.0147074044
2025-01-24,1233,0.0001667011,-0.3462090181,-0.3462090181
2025-01-24,1273,0.0101089376,0.0116529642,0.0116529642
2025-01-24,1297,-5.4476e-05,-0.0043609578,-0.0043609578
2025-01-24,1296,9.421e-05,0.0048112201,0.0048112201
2025-01-24,1608,-0.0007831424,-0.0049139271,-0.0049139271
2025-01-24,1175,0.0012510419,0.0155585352,0.0155585352
2025-01-24,1607,-0.0011771789,-0.0099852726,-0.0099852726
2025-01-24,1203,0.0006880404,0.0104459825,0.0104459825
2025-01-24,1157,0.0003168834,0.0043848732,0.0043848732
2025-01-24,1295,0.0007063495,0.0108466456,0.0108466456
2025-01-24,1208,0.0005398259,0.0038816944,0.0038816944
2025-01-24,1676,-5.45048e-05,,
2025-01-24,1517,0.0031869458,0.0183921083,0.0183921083
2025-01-24,1206,-0.0001954456,0.0018327048,0.0018327048
2025-01-24,1207,0.0,0.0,0.0
2025-01-24,1205,0.0001245887,0.006387951,0.006387951
2025-01-24,1875,,,
2025-01-24,1694,-0.00076518,,
2025-01-24,1210,0.0009518652,0.0110215201,0.0110215201
2025-01-24,1234,-0.0084041493,-0.9999960887,-0.9999960887
2025-01-24,1204,0.0001188426,0.0062482509,0.0062482509
2025-01-24,1232,-0.0005612336,-0.9944166869,-0.9944166869
2025-01-24,1672,0.0023020333,0.0118821571,0.0118821571
2025-01-24,1695,0.0012916419,-0.0424265865,-0.0424265865
2025-01-24,1247,0.0015351741,0.0268676676,0.0268676676
2025-01-27,1206,-0.0027391088,-0.0009114239,-0.0009114239
2025-01-27,1204,-0.0011919496,0.0050488537,0.0050488537
2025-01-27,1205,-0.0011684302,0.0052120569,0.0052120569
2025-01-27,1247,0.0165870057,0.0439003276,0.0439003276
2025-01-27,1207,0.0,0.0,0.0
2025-01-27,1211,0.0021209859,0.0168595845,0.0168595845
2025-01-27,1270,-0.0033705593,0.0076751739,0.0076751739
2025-01-27,1676,-5.45068e-05,,
2025-01-27,1672,-0.001718987,0.0101427448,0.0101427448
2025-01-27,1157,0.0002663861,0.0046524274,0.0046524274
2025-01-27,1297,0.0002446461,-0.0041173785,-0.0041173785
2025-01-27,1203,0.0006192636,0.0110717149,0.0110717149
2025-01-27,1693,-0.0003158874,,
2025-01-27,1232,-0.000558934,-0.9944198076,-0.9944198076
2025-01-27,1210,0.0061840909,0.0172737691,0.0172737691
2025-01-27,1209,0.0015320212,0.0043818962,0.0043818962
2025-01-27,1234,-0.0084990188,-0.999996122,-0.999996122
2025-01-27,1607,-0.0104067117,-0.0202880705,-0.0202880705
2025-01-27,1296,0.0005018472,0.0053154819,0.0053154819
2025-01-27,1208,0.0023399022,0.0062306794,0.0062306794
2025-01-27,1517,0.0201328654,0.0388952596,0.0388952596
2025-01-27,1694,-0.0007659996,,
2025-01-27,1875,,,
2025-01-27,1695,0.0067351998,-0.0359771382,-0.0359771382
2025-01-27,1233,0.0001638139,-0.346101918,-0.346101918
2025-01-27,1273,0.0006891278,0.0123501224,0.0123501224
2025-01-27,1608,-0.0073445199,-0.0122223566,-0.0122223566
2025-01-27,1175,0.0054101811,0.0210528908,0.0210528908
2025-01-27,1295,0.0021507973,0.0130207719,0.0130207719
2025-01-28,1875,,,
2025-01-28,1695,0.0015592918,-0.0344739452,-0.0344739452
2025-01-28,1297,-0.0029429854,-0.0070482465,-0.0070482465
2025-01-28,1209,-0.0084381802,-0.0040932591,-0.0040932591
2025-01-28,1157,1.85572e-05,0.004671071,0.004671071
2025-01-28,1232,-0.0005323163,-0.994422778,-0.994422778
2025-01-28,1676,-5.45298e-05,,
2025-01-28,1273,-0.0007090216,0.0116323443,0.0116323443
2025-01-28,1517,-0.0318557875,0.005800433,0.005800433
2025-01-28,1233,0.0001669772,-0.3459927319,-0.3459927319
2025-01-28,1608,0.0006723543,-0.01155822,-0.01155822
2025-01-28,1208,-0.0100633871,-0.0038954094,-0.0038954094
2025-01-28,1270,0.0036527525,0.0113559619,0.0113559619
2025-01-28,1206,0.0016517259,0.0007387966,0.0007387966
2025-01-28,1207,0.0,0.0,0.0
2025-01-28,1211,0.000892319,0.0177669477,0.0177669477
2025-01-28,1694,-0.0007662756,,
2025-01-28,1693,-0.0003160572,,
2025-01-28,1296,-0.0029008926,0.0023991696,0.0023991696
2025-01-28,1203,0.000969275,0.0120517214,0.0120517214
2025-01-28,1247,-0.0022691284,0.0415315837,0.0415315837
2025-01-28,1234,-0.0085480275,-0.9999961551,-0.9999961551
2025-01-28,1672,0.0037045651,0.0138848844,0.0138848844
2025-01-28,1204,0.0012845159,0.006339855,0.006339855
2025-01-28,1210,-0.0012074082,0.0160455044,0.0160455044
2025-01-28,1295,-0.0013439318,0.011659341,0.011659341
2025-01-28,1607,0.001031102,-0.0192778875,-0.0192778875
2025-01-28,1175,-0.006142313,0.0147812643,0.0147812643
2025-01-28,1205,0.0012847124,0.0065034654,0.0065034654
2025-01-29,1247,-0.0040864257,0.0372754422,0.0372754422
2025-01-29,1517,-0.0029356452,0.0028477597,0.0028477597
2025-01-29,1270,-0.0021520194,0.0091795043,0.0091795043
2025-01-29,1608,-0.0035856315,-0.015102408,-0.015102408
2025-01-29,1672,0.0006409326,0.0145347163,0.0145347163
2025-01-29,1234,-0.0086217262,-0.9999961883,-0.9999961883
2025-01-29,1295,-0.0007348181,0.0109159554,0.0109159554
2025-01-29,1875,,,
2025-01-29,1232,-0.0005715305,-0.9944259656,-0.9944259656
2025-01-29,1205,-3.876e-07,0.0065030752,0.0065030752
2025-01-29,1207,0.0,0.0,0.0
2025-01-29,1676,-5.44937e-05,,
2025-01-29,1273,-0.0012440226,0.0103738508,0.0103738508
2025-01-29,1203,-0.0005856413,0.0114590221,0.0114590221
2025-01-29,1297,-0.0009036575,-0.0079455349,-0.0079455349
2025-01-29,1209,-0.0027783333,-0.00686022,-0.00686022
2025-01-29,1206,-0.000144721,0.0005939686,0.0005939686
2025-01-29,1694,-0.0007666735,,
2025-01-29,1296,-0.0009448322,0.0014520706,0.0014520706
2025-01-29,1693,-0.0003154989,,
2025-01-29,1233,0.0001685887,-0.3458824736,-0.3458824736
2025-01-29,1607,-0.003808916,-0.0230133756,-0.0230133756
2025-01-29,1204,3.136e-07,0.0063401706,0.0063401706
2025-01-29,1695,-0.0026775359,-0.037059176,-0.037059176
2025-01-29,1175,-0.002098153,0.0126520979,0.0126520979
2025-01-29,1211,-0.0012036089,0.0165419543,0.0165419543
2025-01-29,1157,0.0007924173,0.0054671898,0.0054671898
2025-01-29,1208,-0.0032616594,-0.0071443634,-0.0071443634
2025-01-29,1210,-0.0007624408,0.0152708298,0.0152708298
2025-01-30,1875,,,
2025-01-30,1676,-5.45317e-05,,
2025-01-30,1672,0.003840604,0.0184311425,0.0184311425
2025-01-30,1207,0.0,0.0,0.0
2025-01-30,1270,0.0040721707,0.0132890555,0.0132890555
2025-01-30,1209,0.0079497779,0.0010350206,0.0010350206
2025-01-30,1211,0.0100727538,0.0267813312,0.0267813312
2025-01-30,1204,0.0011360765,0.0074834501,0.0074834501
2025-01-30,1247,0.0247785788,0.0629776536,0.0629776536
2025-01-30,1273,0.0031448643,0.0135513395,0.0135513395
2025-01-30,1205,0.001129886,0.007640309,0.007640309
