overview_date,portfolio_id,instrument_id,book_name,instrument_type,quantity,price,asset_value,exposure_value,dtd_ativo_fin,portfolio_origem,nivel,portfolio_nav,pct_exposicao
2025-06-20,1608,1247,Risco >> Renda Variável Terceiros,3,4782701.30997416,1.2802459,6123033.74,6123033.743019047,-50311.15,1608,0,179193143.76,0.0341700224380228
2025-06-20,1608,1202,Risco >> Renda Variável Próprio,3,119886096.80173,1.13747018,136366860.11,136366860.10856125,-348011.35,1608,0,179193143.76,0.7610048981070527
2025-06-20,1608,1,Caixa,7,0.17,1.0,0.17,0.17,0.0,1608,0,179193143.76,9.486970116874968e-10
2025-06-20,1607,1198,Risco >> Renda Variável Terceiros,3,14183485.53837498,1.275678,18093560.46,18093560.46462312,-42648.32,1607,0,173192163.39,0.1044710113348455
2025-06-20,1607,1626,Risco >> Multimercado Terceiros,3,1131352.70808786,7.6606202,8666863.41,8666863.408902563,10570.57,1607,0,173192163.39,0.050041891268407
2025-06-20,1607,1362,Caixa,16,0.0,4329.95307516,0.0,0.0,4212.74,1607,0,173192163.39,0.0
2025-06-20,1607,1401,Caixa,16,1801.0,4315.52790681,7772265.76,7772265.76016481,0.0,1607,0,173192163.39,0.0448765441116579
2025-06-20,1607,1589,Caixa,16,582.0,0.0,0.0,0.0,0.0,1607,0,173192163.39,0.0
2025-06-20,1607,1247,Risco >> Renda Variável Terceiros,3,3389518.8501539,1.2802459,4339417.61,4339417.610882245,-35655.71,1607,0,173192163.39,0.0250555078586933
2025-06-20,1607,1202,Risco >> Renda Variável Próprio,3,118064186.31628068,1.13747018,134294491.26,134294491.26073334,-342722.62,1607,0,173192163.39,0.7754074354872769
2025-06-20,1607,1,Caixa,7,0.28,1.0,0.28,0.28,0.0,1607,0,173192163.39,1.6167013248139092e-09
2025-06-20,1517,1215,Caixa,3,2000161.25678085,4.81013611,9621047.89,9621047.88706455,5208.33,1517,0,1225558838.96,0.0078503353582182
2025-06-20,1517,118,Risco >> Renda Variável Próprio,2,43398400.0,27.47,1192154048.0,1192154048.0,-9547648.0,1517,0,1225558838.96,0.9727432172996712
2025-06-20,1517,1776,Risco >> Renda Variável Próprio,15,-9750000.0,1e-07,-0.97,-0.975,-0.78,1517,0,1225558838.96,-7.955554388782981e-10
2025-06-20,1676,1215,Caixa,3,519262.73476921,4.81013611,2497724.43,2497724.4310907293,1352.13,1676,0,18303689.18,0.1364601642066744
2025-06-20,1517,1,Caixa,7,26657.86,1.0,26657.86,26657.86,0.0,1517,0,1225558838.96,2.1751595396775613e-05
2025-06-20,1693,1749,Padrão,3,2484000.0,0.36935749,917484.01,917484.00516,-228.92,1693,0,5413663.49,0.1694756253052588
2025-06-20,1693,1215,Caixa,3,27554663.47812701,4.81013611,132541681.8,132541681.79503693,71750.91,1693,0,5413663.49,24.48280762922649
2025-06-20,1886,1265,Risco >> Multimercado Terceiros,3,25855081.79566748,1.1087589,28667052.05,28667052.0511743,-91834.15,1886,0,148682430.57,0.1928072600190497
2025-06-20,1886,1196,Risco >> Multimercado Terceiros,3,16572388.42001,1.2976325,21504869.82,21504869.816428628,43010.32,1886,0,148682430.57,0.144636254155827
2025-06-20,1886,1264,Risco >> Multimercado Terceiros,3,66278628.42875,1.37482201,91121317.16,91121317.15645722,396169.24,1886,0,148682430.57,0.6128586733962297
2025-06-20,1886,1214,Caixa,3,1669164.8565,4.4140439,7367766.95,7367766.9529282,3939.23,1886,0,148682430.57,0.0495537160959945
2025-06-20,1886,1,Caixa,7,4214.95,1.0,4214.95,4214.95,0.0,1886,0,148682430.57,2.834867565617037e-05
2025-06-20,1882,1,Caixa,7,18545659.67,1.0,18545659.67,18545659.67,0.0,1882,0,18535580.26,1.000543787130406
2025-06-20,1875,1234,Risco >> Multimercado Próprio,3,1289729.42504843,0.84745587,1092988.77,1092988.771969017,-165631.05,1875,0,95013370.73,0.0115035259097897
2025-06-20,1875,1232,Risco >> Multimercado Próprio,3,206056.89643697,4.86354963,1002167.94,1002167.9424249736,12.07,1875,0,95013370.73,0.0105476517118084
2025-06-20,1875,1233,Risco >> Multimercado Próprio,3,342243.17371201,271.49764014,92918214.02,92918214.0168348,14157.75,1875,0,95013370.73,0.9779488223913344
2025-06-20,1695,1452,Caixa,16,8073.0,890.96267196,7192741.65,7192741.65073308,0.0,1695,0,477871228.71,0.0150516315245629
2025-06-20,1695,1391,Caixa,16,0.0,4169.70530727,0.0,0.0,3898.63,1695,0,477871228.71,0.0
2025-06-20,1695,1247,Risco >> Renda Variável Terceiros,3,155200681.77182877,1.2802459,198695036.52,198695036.5155885,-1632618.05,1695,0,477871228.71,0.4157920054152668
2025-06-20,1695,1,Caixa,7,0.01,1.0,0.01,0.01,0.0,1695,0,477871228.71,2.092613951041732e-11
2025-06-20,1695,1194,Risco >> Renda Variável Próprio,3,207269477.03921223,1.32560622,274757707.98,274757707.97932696,-1294453.85,1695,0,477871228.71,0.5749618128737897
2025-06-20,1694,1230,Padrão,3,2156957.179997,1.49864902,3232521.76,3232521.763984468,-29.58,1694,0,33024659.83,0.0978820608788831
2025-06-20,1694,1452,Caixa,16,14897.0,891.00321886,13273274.95,13273274.95135742,0.0,1694,0,33024659.83,0.4019201112042891
2025-06-20,1694,1410,Caixa,16,0.0,16728.08518519,0.0,0.0,7126.66,1694,0,33024659.83,0.0
2025-06-20,1694,1833,Padrão,3,396250.0,0.93914382,372135.74,372135.738675,-99.58,1694,0,33024659.83,0.0112684200409824
2025-06-20,1694,1224,Padrão,3,6111.108117,891.58444081,5448568.91,5448568.913224897,52.67,1694,0,33024659.83,0.1649848610484506
2025-06-20,1694,1853,Padrão,3,437500.0,1.0612576,464300.2,464300.2,3.44,1694,0,33024659.83,0.0140591970482077
2025-06-20,1694,1220,Padrão,3,10240.89326646,966.26333672,9895399.7,9895399.69864302,1033.2,1694,0,33024659.83,0.2996366881470167
2025-06-20,1694,1,Caixa,7,0.15,1.0,0.15,0.15,0.0,1694,0,33024659.83,4.542060410982286e-09
2025-06-20,1694,1749,Padrão,3,920000.0,0.36935749,339808.89,339808.8908,-84.79,1694,0,33024659.83,0.0102895500680165
2025-06-20,1693,1,Caixa,7,-127963221.47,1.0,-127963221.47,-127963221.47,0.0,1693,0,5413663.49,-23.63708451889757
2025-06-20,1295,1705,Risco >> Renda Variável Próprio,2,29404.000102958355,209.69,34052064.8192336,34052064.8237616,-342090.49119783274,1270,2,9472186945.78,0.0035949527832041
