portfolio_id,date,portfolio_nav
1296,2025-06-16,910670900.570000000
1210,2025-05-22,152529607.500000000
1295,2025-06-17,9484096692.370000000
1273,2025-06-12,44289409.890000000
1234,2025-06-11,12424071.260000000
1233,2025-05-28,92719699.970000000
1233,2025-06-02,92758496.590000000
1232,2025-06-16,10600233.590000000
1233,2025-06-03,92771227.960000000
1233,2025-06-04,92783613.810000000
1232,2025-05-22,10594512.370000000
1233,2025-06-05,92795540.090000000
1208,2025-05-28,347837153.280000000
1233,2025-06-09,92817583.730000000
1232,2025-06-09,10599562.260000000
1233,2025-06-10,92827805.180000000
1676,2025-05-21,18250862.780000000
1295,2025-06-09,9407711894.790000000
1295,2025-06-10,9444052187.860000000
1295,2025-06-16,9511105657.590000000
1297,2025-05-20,1109577391.900000000
1233,2025-06-11,92837711.380000000
1233,2025-06-13,92861385.040000000
1297,2025-05-26,1111304441.870000000
1210,2025-05-23,152807689.890000000
1211,2025-06-18,1837856671.890000000
1297,2025-05-27,1115650351.170000000
1232,2025-05-23,10598123.700000000
1211,2025-06-04,1833719417.890000000
1297,2025-05-28,1113332325.070000000
1206,2025-06-10,503532309.070000000
1297,2025-05-29,1113531655.370000000
1297,2025-05-30,1121077789.130000000
1676,2025-06-16,18302862.310000000
1273,2025-05-19,44061066.070000000
1206,2025-06-18,505329855.920000000
1206,2025-06-12,506647424.290000000
1206,2025-05-30,500908776.740000000
1234,2025-06-12,11401532.390000000
1608,2025-06-10,181512151.900000000
1206,2025-05-13,628193862.690000000
1886,2025-06-25,149881832.650000000
1204,2025-06-23,379620896.880000000
1296,2025-05-27,876684725.940000000
1210,2025-06-06,152931185.590000000
1296,2025-05-28,874597372.380000000
1210,2025-06-09,153084318.220000000
1295,2025-06-02,9378201934.510000000
1204,2025-06-11,378380993.060000000
1208,2025-06-16,363538072.000000000
1204,2025-06-12,378944248.890000000
1295,2025-06-03,9397426066.360000000
1875,2025-06-20,95013370.730000000
1607,2025-06-25,175547974.490000000
1208,2025-06-13,360245580.050000000
1297,2025-06-10,1131848118.760000000
1232,2025-05-06,5201264.940000000
1233,2025-05-07,92427395.560000000
1270,2025-05-09,1057175188.170000000
1232,2025-05-07,5200556.230000000
1232,2025-05-08,5200436.810000000
1232,2025-05-09,5200250.680000000
1247,2025-06-24,210474936.320000000
1247,2025-06-25,208828045.800000000
1205,2025-06-11,314506497.530000000
1232,2025-05-12,5200062.380000000
1676,2025-05-26,18255866.680000000
1676,2025-05-27,18256825.680000000
1232,2025-06-12,10599964.700000000
1875,2025-06-12,95772306.820000000
1882,2025-05-26,18630604.160000000
1232,2025-05-13,5199877.470000000
1875,2025-06-13,95621173.940000000
1676,2025-05-28,18308706.630000000
1882,2025-05-19,18704240.840000000
1676,2025-06-02,18295303.600000000
1882,2025-05-27,18579138.950000000
1882,2025-05-28,18821528.620000000
1211,2025-06-20,1843880894.730000000
1295,2025-06-24,9489796920.180000000
1234,2025-06-13,10421554.820000000
1882,2025-05-16,18651908.860000000
1205,2025-05-28,315578083.240000000
1295,2025-05-05,9180131154.190000000
1205,2025-05-30,312578611.840000000
1273,2025-05-12,44046489.900000000
1882,2025-06-20,18463359.950000000
1205,2025-05-19,332447729.090000000
1205,2025-05-20,332186789.710000000
1205,2025-05-21,331492966.810000000
1205,2025-05-22,332042750.120000000
1205,2025-05-23,314842555.290000000
1676,2025-06-11,18300432.230000000
1205,2025-05-26,315200463.880000000
1157,2025-06-20,75641677.590000000
1205,2025-05-27,316049275.200000000
1210,2025-06-10,153274396.740000000
1695,2025-06-10,478431196.690000000
1882,2025-05-20,18632860.760000000
1211,2025-06-17,1838567032.040000000
1607,2025-06-16,173853950.350000000
1693,2025-05-08,5443353.580000000
1234,2025-06-09,14413826.920000000
1693,2025-05-12,5447895.070000000
1270,2025-05-29,1095528989.780000000
1693,2025-05-21,5183973.090000000
1693,2025-05-28,5163590.560000000
1694,2025-06-17,16021125.430000000
1694,2025-06-10,16003418.510000000
1203,2025-06-18,3153483843.470000000
1693,2025-05-29,5177278.670000000
1607,2025-06-09,174593622.160000000
1693,2025-05-30,5193131.610000000
1693,2025-06-02,5203494.960000000
1693,2025-06-03,5217235.030000000
1875,2025-05-02,97974888.730000000
1875,2025-05-05,97990161.950000000
